,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
BALANCE,1.0001117443289769,0.32244833088048697,0.18128099821090513,0.1643680181839846,0.12648316451447356,0.4967470388545061,-0.07795244688928231,0.07317426230200456,-0.06319281838574167,0.44926822603895394,0.3851953139951399,0.15435560660853348,0.5313555344312508,0.3228377265299071,0.3979645079774742,-0.3189948384825909,0.0727003865472521
BALANCE_FREQUENCY,0.32244833088048697,1.0001117443289749,0.13368937470603648,0.10433488145298794,0.12430607031016526,0.09939910494051753,0.2297411422579847,0.20243793994870243,0.17609907464285657,0.1918941233732175,0.14157068406779702,0.18964712765357694,0.09594200330035588,0.06501512930791013,0.1311954403334628,-0.09509306600047548,0.1197892714757498
PURCHASES,0.18128099821090513,0.13368937470603648,1.0001117443289744,0.9169470108951325,0.6799721949031184,-0.05147997164554021,0.3930613450026226,0.49848542952879954,0.3156019489836468,-0.12015661747551189,-0.06718279148229885,0.6896378890372671,0.3570168142237548,0.6033312427130975,0.09579955202517511,0.18039921666207367,0.08629784176270817
ONEOFF_PURCHASES,0.16436801818398458,0.10433488145298797,0.9169470108951325,1.0001117443289735,0.33065849231171485,-0.031329200656318335,0.264966908210744,0.5249497366706918,0.12774337605365632,-0.08263698447664124,-0.04621731747610014,0.5455842438898975,0.31977050452247846,0.5673550098594463,0.05026187000749971,0.13277760444258926,0.06415719160883998
INSTALLMENTS_PURCHASES,0.12648316451447358,0.12430607031016523,0.6799721949031184,0.33065849231171496,1.0001117443289766,-0.0642508600167795,0.44246711819658957,0.21406635047675074,0.5114079682186862,-0.1323331768151237,-0.07400744916135057,0.6281777258112636,0.25654319837933603,0.38412670865860216,0.13403371058127297,0.1825897603788169,0.08615250260460978
CASH_ADVANCE,0.4967470388545061,0.09939910494051753,-0.051479971645540225,-0.031329200656318335,-0.06425086001677949,1.0001117443289747,-0.21553145960510955,-0.08676368947500801,-0.17708952183245388,0.6285923080890184,0.6565709015578809,-0.07585865724001559,0.3040310496820896,0.4532887753885604,0.14076316463272764,-0.15295242643839324,-0.06832007616168383
PURCHASES_FREQUENCY,-0.07795244688928227,0.22974114225798475,0.39306134500262263,0.2649669082107441,0.44246711819658957,-0.21553145960510955,1.0001117443289729,0.5013991573738648,0.8630300652102095,-0.30851294562945664,-0.2035006565761476,0.568493347806142,0.11984649516741325,0.10347565449053453,0.0061545019238391395,0.3058365255660275,0.06151252043035921
ONEOFF_PURCHASES_FREQUENCY,0.07317426230200455,0.20243793994870235,0.49848542952879954,0.5249497366706918,0.21406635047675077,-0.086763689475008,0.5013991573738649,1.000111744328975,0.1423450872530128,-0.1117283131452097,-0.06909615285494346,0.5449301900262825,0.29509181239935395,0.24356420357079778,-0.027314357387995595,0.1575483971804587,0.08247547798417246
PURCHASES_INSTALLMENTS_FREQUENCY,-0.06319281838574162,0.17609907464285657,0.31560194898364696,0.12774337605365635,0.5114079682186862,-0.1770895218324539,0.8630300652102095,0.14234508725301284,1.0001117443289729,-0.2629875092920538,-0.16922632317693087,0.5300338920862637,0.06080061760090314,0.08556082435040165,0.032059046542095467,0.25011539831612417,0.07328363791396897
CASH_ADVANCE_FREQUENCY,0.44926822603895394,0.1918941233732175,-0.12015661747551191,-0.08263698447664124,-0.1323331768151237,0.6285923080890186,-0.3085129456294567,-0.1117283131452097,-0.26298750929205383,1.0001117443289753,0.7996501037796945,-0.13118311296112325,0.13262233219410724,0.18321213574710404,0.10062769924527122,-0.24980114228982175,-0.13338724041450847
CASH_ADVANCE_TRX,0.38519531399513984,0.14157068406779702,-0.06718279148229886,-0.04621731747610014,-0.07400744916135056,0.6565709015578809,-0.20350065657614766,-0.06909615285494347,-0.1692263231769309,0.7996501037796945,1.000111744328975,-0.06616408618230583,0.14972963240454226,0.2553061965679493,0.1112633005304354,-0.16980338374414788,-0.04342548918752456
PURCHASES_TRX,0.15435560660853348,0.18964712765357694,0.6896378890372671,0.5455842438898975,0.6281777258112633,-0.07585865724001559,0.5684933478061421,0.5449301900262824,0.5300338920862637,-0.13118311296112323,-0.06616408618230583,1.000111744328974,0.2729320815500822,0.37087369681015214,0.0987334051858866,0.16208435155072026,0.12188756164238342
CREDIT_LIMIT,0.5313555344312508,0.09594200330035589,0.3570168142237548,0.31977050452247846,0.25654319837933603,0.30403104968208966,0.11984649516741322,0.295091812399354,0.06080061760090313,0.13262233219410727,0.14972963240454223,0.2729320815500821,1.0001117443289755,0.421922995328624,0.1267789472367388,0.05570110525922645,0.1392379327878287
PAYMENTS,0.3228377265299071,0.06501512930791013,0.6033312427130975,0.5673550098594463,0.3841267086586021,0.4532887753885604,0.10347565449053449,0.24356420357079778,0.08556082435040159,0.18321213574710404,0.2553061965679493,0.37087369681015214,0.421922995328624,1.0001117443289747,0.12897426482073884,0.11215085353057407,0.10614815909515136
MINIMUM_PAYMENTS,0.3979645079774742,0.13119544033346275,0.09579955202517505,0.05026187000749966,0.13403371058127297,0.14076316463272764,0.006154501923839125,-0.02731435738799559,0.03205904654209545,0.10062769924527117,0.1112633005304354,0.0987334051858866,0.1267789472367388,0.12897426482073884,1.0001117443289762,-0.13520905529943564,0.06001316979349527
